Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
240,91.14583333333333,ALIE,FGC,1,0.5,0
270,91.90705128205128,ALIE,FGC,1,0.5,0
300,92.39783653846153,ALIE,FGC,1,0.5,0
330,92.8886217948718,ALIE,FGC,1,0.5,0
360,93.34935897435898,ALIE,FGC,1,0.5,0
390,93.19911858974359,ALIE,FGC,1,0.5,0
420,93.98036858974359,ALIE,FGC,1,0.5,0
450,93.96033653846153,ALIE,FGC,1,0.5,0
480,94.20072115384616,ALIE,FGC,1,0.5,0
510,94.52123397435898,ALIE,FGC,1,0.5,0
540,94.67147435897436,ALIE,FGC,1,0.5,0
570,94.79166666666667,ALIE,FGC,1,0.5,0
600,94.81169871794872,ALIE,FGC,1,0.5,0
630,94.79166666666667,ALIE,FGC,1,0.5,0
660,95.0420673076923,ALIE,FGC,1,0.5,0
690,95.13221153846153,ALIE,FGC,1,0.5,0
720,95.16225961538461,ALIE,FGC,1,0.5,0
750,95.18229166666667,ALIE,FGC,1,0.5,0
780,95.71314102564102,ALIE,FGC,1,0.5,0
810,95.51282051282051,ALIE,FGC,1,0.5,0
