Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
1140,96.08373397435898,LF,6,1
1170,96.16386217948718,LF,6,1
1200,96.14383012820512,LF,6,1
1230,96.2139423076923,LF,6,1
1260,96.24399038461539,LF,6,1
1290,96.57451923076923,LF,6,1
1320,96.55448717948718,LF,6,1
1350,96.49439102564102,LF,6,1
1380,96.71474358974359,LF,6,1
1410,96.7548076923077,LF,6,1
1440,96.76482371794872,LF,6,1
1470,96.68469551282051,LF,6,1
1500,96.78485576923077,LF,6,1
30,45.3125,LF,7,1
60,70.33253205128206,LF,7,1
90,78.79607371794872,LF,7,1
120,83.34334935897436,LF,7,1
150,85.26642628205128,LF,7,1
180,86.69871794871794,LF,7,1
210,87.79046474358974,LF,7,1
240,88.64182692307692,LF,7,1
270,89.44310897435898,LF,7,1
300,90.1542467948718,LF,7,1
330,90.26442307692308,LF,7,1
360,90.9354967948718,LF,7,1
390,91.2860576923077,LF,7,1
420,91.73677884615384,LF,7,1
450,91.74679487179488,LF,7,1
480,92.3076923076923,LF,7,1
510,92.58814102564102,LF,7,1
540,92.76842948717949,LF,7,1
570,93.13902243589743,LF,7,1
600,93.19911858974359,LF,7,1
630,93.6698717948718,LF,7,1
660,93.88020833333333,LF,7,1
690,93.93028846153847,LF,7,1
720,94.1806891025641,LF,7,1
750,94.37099358974359,LF,7,1
780,94.48116987179488,LF,7,1
810,94.58133012820512,LF,7,1
840,94.76161858974359,LF,7,1
870,94.86177884615384,LF,7,1
900,94.70152243589743,LF,7,1
930,95.16225961538461,LF,7,1
960,95.33253205128206,LF,7,1
990,95.29246794871794,LF,7,1
1020,95.54286858974359,LF,7,1
1050,95.76322115384616,LF,7,1
1080,95.77323717948718,LF,7,1
1110,95.77323717948718,LF,7,1
1140,96.04366987179488,LF,7,1
1170,96.25400641025641,LF,7,1
1200,95.99358974358974,LF,7,1
1230,96.2139423076923,LF,7,1
1260,96.39423076923077,LF,7,1
1290,96.38421474358974,LF,7,1
1320,96.55448717948718,LF,7,1
1350,96.61458333333333,LF,7,1
1380,96.62459935897436,LF,7,1
1410,96.64463141025641,LF,7,1
1440,96.86498397435898,LF,7,1
1470,96.88501602564102,LF,7,1
1500,97.05528846153847,LF,7,1
30,34.75560897435897,LF,8,1
60,64.8838141025641,LF,8,1
90,76.80288461538461,LF,8,1
120,80.08814102564102,LF,8,1
150,81.62059294871794,LF,8,1
180,82.4619391025641,LF,8,1
210,83.73397435897436,LF,8,1
240,84.97596153846153,LF,8,1
270,86.26802884615384,LF,8,1
300,86.2079326923077,LF,8,1
330,86.2880608974359,LF,8,1
360,52.834535256410255,LF,8,1
390,81.06971153846153,LF,8,1
420,81.94110576923077,LF,8,1
450,77.04326923076923,LF,8,1
480,72.27564102564102,LF,8,1
510,78.5556891025641,LF,8,1
540,79.97796474358974,LF,8,1
570,73.3573717948718,LF,8,1
600,70.03205128205128,LF,8,1
630,78.40544871794872,LF,8,1
660,79.50721153846153,LF,8,1
690,65.01402243589743,LF,8,1
720,66.22596153846153,LF,8,1
750,38.151041666666664,LF,8,1
780,84.56530448717949,LF,8,1
810,48.727964743589745,LF,8,1
840,76.67267628205128,LF,8,1
870,82.74238782051282,LF,8,1
900,84.55528846153847,LF,8,1
930,86.22796474358974,LF,8,1
960,87.16947115384616,LF,8,1
990,87.63020833333333,LF,8,1
1020,87.63020833333333,LF,8,1
1050,85.0761217948718,LF,8,1
1080,20.502804487179485,LF,8,1
1110,73.9483173076923,LF,8,1
1140,46.90504807692308,LF,8,1
1170,83.74399038461539,LF,8,1
1200,82.40184294871794,LF,8,1
1230,84.21474358974359,LF,8,1
1260,84.38501602564102,LF,8,1
1290,79.49719551282051,LF,8,1
1320,85.51682692307692,LF,8,1
1350,87.95072115384616,LF,8,1
1380,86.26802884615384,LF,8,1
